Iterations needed 
G, N, ACO, ACO, ACOWU, ACOWU, Dai, Dai, Bellaachia, Bellaachia,
,, Avg., St.Dev., Avg., St.Dev., Avg., St.Dev., Avg., St.Dev.,
0, 20, 1080, 944, 1632, 627, 1063, 737, 804, 938, 
0, 30, 638, 1143, 862, 881, 700, 880, 1157, 684, 
0, 40, 992, 887, 1497, 480, 654, 491, 707, 307, 
0, 50, 2005, 549, 1261, 648, 407, 460, 977, 532, 
0, 60, 1064, 691, 647, 360, 1666, 299, 1078, 1002, 
1, 20, 310, 154, 919, 401, 1100, 490, 381, 373, 
1, 30, 713, 428, 935, 780, 728, 747, 1092, 251, 
1, 40, 672, 852, 812, 666, 809, 916, 1046, 958, 
1, 50, 2050, 1258, 1112, 889, 1581, 593, 840, 497, 
1, 60, 1186, 910, 1081, 969, 1274, 836, 896, 687, 
2, 20, 972, 715, 837, 607, 883, 195, 609, 387, 
2, 30, 1598, 982, 1083, 355, 1321, 956, 612, 370, 
2, 40, 598, 277, 1344, 896, 1293, 794, 1406, 728, 
2, 50, 1072, 660, 1262, 699, 644, 549, 1192, 953, 
2, 60, 1542, 993, 1613, 934, 1275, 532, 1394, 610, 
3, 20, 1089, 687, 1101, 686, 987, 640, 648, 447, 
3, 30, 1509, 983, 969, 596, 1672, 881, 846, 533, 
3, 40, 982, 1044, 1202, 977, 981, 682, 973, 798, 
3, 50, 1860, 1034, 727, 947, 866, 1063, 885, 806, 
3, 60, 570, 243, 819, 369, 1836, 900, 766, 376, 
4, 20, 739, 880, 1348, 917, 1254, 1067, 586, 227, 
4, 30, 1065, 607, 1341, 912, 621, 521, 907, 813, 
4, 40, 1391, 770, 458, 635, 1575, 1016, 911, 663, 
4, 50, 1918, 984, 868, 812, 981, 634, 584, 318, 
4, 60, 1197, 1110, 566, 357, 815, 956, 1178, 1168, 
