Costs 
G, N, ACO, ACO, ACOWU, ACOWU, Dai, Dai, Bellaachia, Bellaachia,
,, Avg., St.Dev., Avg., St.Dev., Avg., St.Dev., Avg., St.Dev.,
0, 20, 4453, 162, 4471, 159, 4496, 130, 5154, 463, 
0, 30, 6079, 513, 5539, 118, 5497, 230, 5994, 134, 
0, 40, 6915, 422, 6468, 171, 6782, 387, 7421, 444, 
0, 50, 7487, 199, 7563, 382, 7565, 518, 8472, 380, 
0, 60, 9250, 392, 8236, 276, 8106, 166, 9080, 884, 
1, 20, 4276, 115, 4062, 121, 4146, 89, 4993, 382, 
1, 30, 5663, 298, 5261, 148, 5627, 420, 6162, 475, 
1, 40, 6849, 589, 6061, 373, 6301, 226, 7502, 794, 
1, 50, 7550, 637, 6940, 216, 7414, 404, 8152, 178, 
1, 60, 9415, 1278, 7861, 408, 8293, 828, 9572, 479, 
2, 20, 4693, 389, 4494, 47, 4503, 148, 4964, 136, 
2, 30, 5731, 243, 5500, 210, 5687, 252, 6484, 254, 
2, 40, 6940, 594, 6233, 269, 6698, 408, 7639, 585, 
2, 50, 8853, 1029, 7873, 95, 9076, 552, 9101, 492, 
2, 60, 9462, 348, 8612, 271, 9266, 801, 10457, 677, 
3, 20, 3906, 157, 3808, 68, 3874, 42, 4512, 340, 
3, 30, 5529, 241, 5243, 141, 5514, 185, 6359, 459, 
3, 40, 7097, 499, 6562, 140, 6955, 413, 7914, 503, 
3, 50, 7686, 569, 7049, 217, 7798, 458, 8308, 770, 
3, 60, 9041, 470, 8028, 150, 8261, 628, 9309, 585, 
4, 20, 4729, 261, 4407, 167, 4510, 165, 5206, 185, 
4, 30, 5696, 541, 5344, 270, 5857, 312, 6271, 229, 
4, 40, 7324, 404, 6586, 266, 7342, 344, 7710, 331, 
4, 50, 8092, 757, 7400, 139, 8113, 160, 9145, 774, 
4, 60, 9090, 779, 8234, 296, 8730, 49, 9355, 494, 
