Time 
G, N, ACO, ACO, ACOWU, ACOWU, Dai, Dai, Bellaachia, Bellaachia,
,, Avg., St.Dev., Avg., St.Dev., Avg., St.Dev., Avg., St.Dev.,
0, 20, 0.639, 0.302, 0.794, 0.074, 0.617, 0.211, 0.504, 0.264, 
0, 30, 1.034, 0.69, 1.19, 0.519, 1.168, 0.572, 1.339, 0.335, 
0, 40, 2.018, 0.739, 2.401, 0.379, 1.764, 0.491, 2.001, 0.201, 
0, 50, 4.022, 0.475, 3.922, 0.785, 2.298, 0.702, 3.66, 1.049, 
0, 60, 5.469, 1.931, 4.065, 0.876, 6.816, 0.863, 4.515, 2.083, 
1, 20, 0.349, 0.043, 0.504, 0.107, 0.553, 0.128, 0.355, 0.098, 
1, 30, 1.008, 0.242, 1.097, 0.371, 0.978, 0.424, 1.124, 0.142, 
1, 40, 1.568, 0.752, 1.876, 0.563, 1.799, 0.81, 2.032, 0.727, 
1, 50, 3.788, 1.248, 3.053, 0.991, 3.9, 0.884, 2.815, 0.708, 
1, 60, 4.765, 1.808, 4.902, 2.114, 5.695, 2.089, 4.717, 1.688, 
2, 20, 0.63, 0.25, 0.566, 0.189, 0.572, 0.077, 0.513, 0.123, 
2, 30, 1.669, 0.559, 1.386, 0.242, 1.514, 0.57, 1.051, 0.224, 
2, 40, 1.869, 0.355, 2.556, 0.795, 2.556, 0.486, 2.675, 0.717, 
2, 50, 3.833, 1.192, 4.048, 1.422, 3.054, 1.078, 3.7, 1.295, 
2, 60, 5.965, 2.003, 6.11, 1.496, 5.815, 1.269, 5.97, 1.593, 
3, 20, 0.692, 0.226, 0.718, 0.229, 0.686, 0.22, 0.538, 0.15, 
3, 30, 1.578, 0.465, 1.44, 0.429, 1.598, 0.356, 1.236, 0.354, 
3, 40, 2.011, 0.863, 2.37, 0.569, 2.229, 0.669, 2.142, 1.046, 
3, 50, 4.535, 1.258, 2.936, 1.394, 3.235, 1.708, 3.203, 1.504, 
3, 60, 4.087, 0.6, 4.716, 0.979, 6.637, 1.81, 4.121, 0.966, 
4, 20, 0.459, 0.211, 0.669, 0.27, 0.573, 0.227, 0.419, 0.059, 
4, 30, 1.182, 0.35, 1.295, 0.453, 0.923, 0.301, 1.05, 0.434, 
4, 40, 2.334, 0.736, 1.44, 0.626, 2.394, 0.865, 1.828, 0.64, 
4, 50, 3.795, 0.964, 2.826, 1.222, 2.988, 0.933, 2.312, 0.467, 
4, 60, 4.375, 1.93, 3.347, 0.77, 3.724, 1.741, 4.196, 1.889, 
